,game_id,red_win,total_moves
713,zwpEZY,0.0,37
714,PNpA5p,0.0,96
715,yMj2J4,0.0,77
716,MNdEvq,0.0,62
717,ROwnMY,0.0,97
718,anm4WK,0.5,85
719,BN3d5K,0.0,51
720,Wwr6EA,0.0,40
721,2mgzyo,0.0,85
722,yMnpLN,0.0,64
723,w5yKBX,0.0,84
724,2mgEzE,0.0,80
725,NRzZ5P,0.0,68
726,g23gVz,0.0,61
727,BN3zMa,0.5,89
728,anmvMV,1.0,35
729,mNL466,1.0,63
730,BN3WXK,0.0,62
731,YObWl9,0.0,32
732,9ZRLZz,0.0,94
733,g2vn2p,0.0,50
734,XKWWXP,0.0,44
735,oOez93,0.0,44
736,OWjBQ5,1.0,107
737,lR3pN5,0.0,70
738,3gR4jv,0.0,52
739,LwEMOB,1.0,4
740,4aZzJN,0.0,110
741,6oZM9a,0.5,106
742,mNrWAZ,0.0,70
743,LwvmWO,1.0,45
744,6ovVBE,0.0,60
745,BN3o4w,1.0,66
746,VO6Kwr,1.0,42
747,vREKmg,0.0,46
748,5o4Zg3,0.0,66
749,qRdn9z,1.0,53
750,pwdeXa,0.0,42
751,9ZY0AG,1.0,33
752,3gbeNd,0.5,61
753,Eljjmb,0.5,129
754,LwBRrR,1.0,55
755,GEzdBP,1.0,151
756,dPyyL3,1.0,37
757,e3625J,0.0,48
758,2mlnyK,0.0,106
759,EllEwV,0.0,52
760,KNyZbE,1.0,109
761,pwknRR,1.0,139
762,4aWGJ1,0.0,54
763,PN3eJ1,0.0,64
764,GE3y4G,0.5,201
765,lRzg9O,0.0,84
766,GE3k59,0.0,38
767,3gQ4NP,0.0,124
768,0aXnjr,1.0,39
769,4akVaW,1.0,53
770,GEnPOG,1.0,47
771,pw6lNl,0.0,46
772,e326mN,1.0,23
773,0aX55p,1.0,5
774,kraoK4,1.0,31
775,ZOlWaG,1.0,57
776,no4oob,1.0,119
777,g2m2VN,1.0,45
778,0a2VO3,1.0,153
779,QElYpV,0.0,79
780,ElPqAP,0.0,50
781,yMARvN,0.0,42
782,3gRQ53,1.0,43
783,2mRnbJ,0.0,50
784,6oZAyE,0.0,50
785,oOeR6V,1.0,67
786,9ZRmXW,1.0,53
787,yMjgbN,0.0,128
788,GEz3Pv,0.0,70
789,PNP3NW,0.0,50
790,g2qY6b,0.0,80
791,zwrG2B,0.0,56
792,3gmVKd,0.0,76
793,QEqgEj,0.0,54
794,0apA4Z,0.0,118
795,rRGXy5,0.0,82
796,0ayK0R,0.0,66
797,LwKp0b,0.0,60
798,AkYjeb,0.0,74
799,OWV5Lg,0.0,78
800,0aO3rE,0.0,120
801,NR6kML,0.0,84
802,w55AwK,0.0,48
803,3ggL45,0.0,84
804,QEEVkV,1.0,193
805,krKjYo,0.0,16
806,JK55eE,0.0,78
807,zwo4mq,0.0,6
808,ZOE2rX,1.0,35
809,pwElpG,0.0,58
810,g21Q36,0.0,38
811,dPNVKP,0.0,20
812,e3yBK3,0.0,64
813,WwNjrJ,0.0,88
814,YORQQo,0.5,102
815,OWBVzm,0.0,50
816,dP15lA,0.5,267
817,w5zyG6,0.0,72
818,4aemP1,1.0,184
819,bQGKgQ,0.0,80
820,2mZq65,0.0,66
821,vRL2mO,1.0,259
822,MN9kb6,1.0,49
823,3gWnEv,0.0,62
824,6oXqpE,0.0,64
825,VOrBy0,0.5,57
826,pwWeP6,0.0,48
827,dPWn4B,0.5,92
828,lRZvyE,0.5,109
829,XKjkn3,0.5,91
830,2mo29W,1.0,5
831,NRKwgB,0.5,125
832,WwJgqE,1.0,37
833,nopj0d,0.0,22
834,GEKz2v,0.0,5
835,VOpdeG,0.5,58
836,0a53NR,0.0,92
837,Ak5VYB,0.0,126
838,pwn1dG,1.0,106
839,krAwEv,1.0,55
840,mNoNM2,0.5,94
841,krAKMR,0.0,186
842,YOPvoE,0.0,92
843,Lwrqjm,0.0,106
844,1oPjnE,0.5,97
845,JKBjJ1,1.0,83
846,e3dOnL,0.0,98
847,1oRjGg,1.0,272
848,yMA3nd,0.0,86
849,LwEdqa,0.0,63
850,JKXqOk,0.0,94
851,WwrwkB,1.0,51
852,noJKwR,0.0,66
853,mNrK0p,1.0,57
854,YOajOZ,0.0,64
855,PN3rX3,0.5,60
856,Akr4vE,1.0,99
857,e30y6b,1.0,173
858,0aybWE,1.0,9
859,vRy5qg,0.5,92
860,BNKJqz,0.5,67
861,j6l21N,1.0,117
862,6o3e5L,0.0,44
863,NRYVpl,0.0,44
864,bQ0EG2,1.0,65
865,3gQ3o4,0.0,74
866,dPgWEb,0.0,49
867,4a002X,0.0,68
868,dPggAb,0.5,85
869,bQgdBb,0.0,13
870,ZOme5N,0.0,5
871,3g0pM5,1.0,6
872,mNJYyW,1.0,4
873,NRwMAO,1.0,87
874,5ojLOk,0.0,66
875,AkBgnR,0.0,120
876,BN6LQw,0.0,80
877,PNgjPM,0.5,35
878,BNN2Ar,0.5,71
879,krr2Ro,0.0,82
880,PN1ek1,1.0,33
881,j6PZ09,0.5,93
882,dP31PA,0.5,244
883,anQrnp,1.0,57
884,NR1amB,1.0,137
885,vRLYy2,0.5,119
886,LwXakm,0.0,68
887,j69V00,1.0,115
888,AkwGoV,1.0,169
889,oOoVva,0.0,68
890,w5do6M,0.5,64
891,ZOkaKm,0.0,69
892,0abr34,0.5,105
893,LwvO3B,1.0,136
894,BNWAlX,0.5,53
895,VOQLPr,0.5,95
896,pwnVaW,0.5,16
897,krqG59,0.5,50
898,krqGYE,0.0,50
899,NR1OWL,0.5,11
900,anQWGG,0.5,71
901,AkXOG2,0.5,70
902,yMzRzV,0.5,65
903,vRzprv,0.0,238
904,AkXRL4,1.0,139
905,LwX3r4,1.0,17
906,JKlN2z,1.0,39
907,MN96dB,0.5,147
908,rRQZnM,0.5,88
909,vRLb4P,1.0,55
910,pwv9X2,1.0,123
911,vRLovO,0.5,99
912,2mZe1z,0.5,85
913,pwv9g4,1.0,109
914,VO9oQo,0.5,51
915,rRQdpp,0.5,69
916,AkZKj2,1.0,102
917,vRL5mP,0.5,59
918,YOPmLr,1.0,71
919,6oByby,0.5,55
920,2m3ZZ2,0.5,74
921,OWkwdE,0.5,4
922,6oBXKK,0.5,60
923,ElPwBj,0.5,58
924,3gL6JQ,0.5,49
925,QEdl3j,0.5,73
926,5oeyep,0.5,60
927,vRAMRP,0.5,108
928,6oBLAQ,0.5,207
929,0aGEbO,1.0,97
930,qRwGPQ,1.0,73
931,GELaqL,0.0,24
932,noNMQb,0.5,62
933,3gL395,0.5,55
934,ZO3Gol,0.5,94
935,e3dj3q,0.5,63
936,YOPLw9,0.5,48
937,anm0az,0.5,119
938,LwEQZY,0.5,221
